time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
376,7.27,23,0.9094377899999999,2816,119,0.5491701364517212,0.12776818685233593,0.001,2706,,
380,7.24,23,0.8535342899999999,2845,119,0.42885953187942505,0.1602630838751793,0.001,2741,,
384,7.24,24,0.8505857800000001,2871,119,0.5757950941721598,0.16477174758911134,0.001,2770,,
388,7.29,24,0.8307970999999997,2895,119,0.5681190937757492,0.16587895713746548,0.001,2792,,
392,7.27,24,0.87442242,2921,119,0.5744699686765671,0.1539851501584053,0.001,2818,,
396,7.24,24,0.9674418599999999,2955,119,0.5177776366472244,0.1621570009738207,0.001,2853,,
400,7.31,25,0.9668870700000001,2991,119,0.4860839992761612,0.15189230916174976,0.001,2880,,
404,7.25,25,0.98641337,3023,119,0.510347455739975,0.17428494095802308,0.001,2914,,
408,7.29,25,0.9916755899999998,3051,119,0.6018213331699371,0.24250886142253875,0.001,2949,,
412,7.28,25,1.0123571100000002,3079,119,0.32145237922668457,0.22776975333690644,0.001,2977,,
416,7.29,26,1.0255432999999998,3104,118,0.5170133411884308,0.17167680338025093,0.001,3001,,
420,7.31,26,1.0423848299999998,3137,118,0.41608502715826035,0.17339290119707584,0.001,3036,,
424,7.36,26,1.01316316,3163,118,0.41493540406227114,0.14503985568881034,0.001,3061,,
428,7.32,26,0.9657899899999998,3198,118,0.4716616153717041,0.1686660572886467,0.001,3091,,
432,7.34,27,1.0114026399999998,3230,118,0.5263030588626861,0.17898438456985685,0.001,3124,,
436,7.13,27,0.9162565399999998,3251,118,0.6398470997810364,0.13042159751057625,0.001,3150,,
440,7.19,27,0.9478860200000001,3280,118,0.4984735697507858,0.16722239851951598,0.001,3171,,
444,7.14,27,0.9346211099999999,3306,118,0.495282806456089,0.18700810335576534,0.001,3203,,
448,7.02,28,0.89679028,3326,118,0.42764700452486676,0.14161939173936844,0.001,3224,,
452,6.9,28,0.8913029100000002,3346,118,0.5704070329666138,0.12804356093207994,0.001,3244,,
456,6.78,28,0.92905925,3366,118,0.41707419355710346,0.17579405009746552,0.001,3264,,
460,7.06,28,0.91627534,3412,117,0.4530417025089264,0.13797642886638642,0.001,3305,,
464,7.02,29,0.9399734199999998,3437,117,0.5822423100471497,0.12191925942897797,0.001,3334,,
468,7.01,29,0.95652265,3463,117,0.5192333683371544,0.1562609566109521,0.001,3360,,
472,7.1,29,0.9513214799999998,3500,117,0.5186313211917877,0.1314608186483383,0.001,3394,,
476,7.12,30,0.9320453899999999,3528,117,0.40820908546447754,0.1613778829574585,0.001,3426,,
480,7.09,30,1.02149774,3554,117,0.38928429037332535,0.22773832678794861,0.001,3449,,
484,7.15,30,1.03664463,3586,117,0.4330417364835739,0.15619778881470361,0.001,3479,,
488,7.21,30,0.9947676,3616,117,0.38765915483236313,0.1290729707106948,0.001,3509,,
492,7.26,31,1.00933414,3647,117,0.29259873181581497,0.15524094104766845,0.001,3541,,
496,7.14,31,0.9805310599999999,3669,117,0.4512646993001302,0.15245061119397482,0.001,3566,,
500,7.07,31,0.9572833299999998,3698,117,0.3582318902015686,0.16991181536154312,0.001,3595,,
504,7.08,31,0.99212077,3731,117,0.43834830820560455,0.21070460602641106,0.001,3623,,
508,7.05,32,0.9958433600000001,3756,117,0.4361560046672821,0.1692514181137085,0.001,3653,,
512,7.0,32,1.03521819,3779,117,0.5206427375475565,0.17556047439575195,0.001,3674,,
516,7.06,32,1.1008492799999998,3810,116,0.3163891606032848,0.17716098576784134,0.001,3703,,
520,6.94,32,1.1191834200000002,3831,116,0.37083985408147174,0.20213337540626525,0.001,3726,,
524,6.86,33,1.15960884,3849,116,0.4277566472689311,0.16220533847808838,0.001,3748,,
528,6.76,33,1.21387557,3874,116,0.5891178846359253,0.17455576360225677,0.001,3768,,
532,6.77,33,1.2813100800000001,3907,116,0.5195465286572775,0.18092385803659758,0.001,3804,,
536,6.9,33,1.2858379,3941,116,0.4659094214439392,0.15428959916938434,0.001,3840,,
540,6.88,34,1.29660304,3968,116,0.5227872580289841,0.1727937998679968,0.001,3865,,
544,6.88,34,1.3414871499999999,3994,116,0.40254439910252887,0.18999533106883368,0.001,3887,,
548,6.97,34,1.34414885,4023,116,0.43512744903564454,0.1654064084092776,0.001,3916,,
552,7.07,34,1.36458519,4053,115,0.3851381778717041,0.15839894786477088,0.001,3951,,
556,7.07,35,1.31974703,4073,115,0.46775028109550476,0.20628675445914268,0.001,3972,,
560,6.87,35,1.3375485200000004,4099,115,0.41329729557037354,0.15769821032881737,0.001,3997,,
564,6.98,35,1.37665976,4135,115,0.38709246218204496,0.16800660226080152,0.001,4028,,
568,6.97,35,1.2941580999999998,4160,115,0.4560433983802795,0.1650395832955837,0.001,4057,,
572,6.94,36,1.3121863300000003,4194,115,0.24839799851179123,0.18216226398944854,0.001,4089,,
576,7.03,36,1.2867484999999999,4231,115,0.4967079162597656,0.1881397943943739,0.001,4124,,
580,7.22,36,1.22554143,4276,116,0.36676615476608276,0.16177678108215332,0.001,4164,,
584,7.29,37,1.22531396,4315,115,0.26570549110571545,0.18556122978528342,0.001,4204,,
588,7.31,37,1.2744822400000002,4347,115,0.3722062915563583,0.22513891590966117,0.001,4246,,
592,7.39,37,1.2532764299999999,4386,115,0.2648194506764412,0.19105091094970703,0.001,4277,,
596,7.48,38,1.2574011699999998,4417,115,0.3225621320307255,0.1876415494415495,0.001,4315,,
600,7.51,38,1.3015156099999996,4449,115,0.48384719093640643,0.18710550240107945,0.001,4345,,
604,7.43,38,1.2805159899999998,4474,115,0.5454935252666473,0.26327555626630783,0.001,4371,,
608,7.49,38,1.2738049999999999,4505,115,0.4150400459766388,0.17111707627773284,0.001,4398,,
612,7.51,39,1.2590678999999998,4530,115,0.3600245490670204,0.2140661273151636,0.001,4429,,
616,7.38,39,1.17309677,4548,115,0.4387854039669037,0.22025013715028763,0.001,4446,,
620,7.39,39,1.1746149499999998,4570,115,0.39290715381503105,0.1983605045825243,0.001,4468,,
624,7.47,39,1.12929006,4596,116,0.37470102310180664,0.23434323966503143,0.001,4492,,
628,7.51,39,1.0398375999999998,4625,116,0.2672491658013314,0.21290869265794754,0.001,4522,,
632,7.48,40,0.9261200700000003,4655,116,0.4368515610694885,0.1899050086736679,0.001,4552,,
