rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/actor_loss,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
7.26,124,-6.521099520000002,9,885,91,-19.628738403320312,0.0003,-4.578380584716797,0.790071427822113,784,3.3753743171691895,,
7.29,128,-6.313474479999999,10,917,91,-19.155921936035156,0.0003,-4.728325843811035,0.78267902135849,816,4.223435401916504,,
7.42,132,-6.351405950000001,10,954,91,-19.865083694458008,0.0003,-4.930274963378906,0.7742093205451965,853,4.296320915222168,,
7.48,136,-6.31279226,10,995,91,-18.813213348388672,0.0003,-5.145042419433594,0.764967143535614,894,3.400007486343384,,
7.49,140,-6.215994490000001,11,1022,90,-19.881874084472656,0.0003,-5.2457275390625,0.758973240852356,921,4.152362823486328,,
7.53,144,-6.152935900000002,11,1046,90,-19.77851676940918,0.0003,-5.333436965942383,0.7536906003952026,945,4.036875247955322,,
7.4,148,-5.90344799,11,1069,90,-19.946067810058594,0.0003,-5.569551467895508,0.748670220375061,968,4.322486877441406,,
7.37,152,-5.860897690000001,12,1104,89,-19.83088493347168,0.0003,-5.711198329925537,0.7410755157470703,1003,4.094885349273682,,
7.57,156,-5.84352719,12,1148,89,-20.372961044311523,0.0003,-5.972090721130371,0.7316632270812988,1047,3.8869969844818115,,
7.7,160,-5.85719256,13,1187,88,-21.098987579345703,0.0003,-6.119004726409912,0.7234368324279785,1086,5.24302864074707,,
7.91,164,-5.742995530000001,14,1236,87,-20.252595901489258,0.0003,-6.289168357849121,0.7132695317268372,1135,5.785757064819336,,
7.82,168,-5.5326505699999995,14,1260,87,-21.03238296508789,0.0003,-6.425409317016602,0.7083423137664795,1159,5.078807830810547,,
8.18,172,-5.53336373,15,1319,87,-20.475940704345703,0.0003,-6.733283996582031,0.6964094638824463,1218,5.770730972290039,,
8.28,176,-5.465442919999999,15,1351,86,-21.23003387451172,0.0003,-6.926197052001953,0.690032422542572,1250,4.980483055114746,,
8.35,180,-5.274490379999999,15,1386,86,-20.420917510986328,0.0003,-7.06971549987793,0.6831156611442566,1285,5.140331745147705,,
8.57,184,-5.167962340000002,16,1429,87,-19.633317947387695,0.0003,-7.315816879272461,0.674708902835846,1328,5.413308143615723,,
8.57,188,-5.1332363,16,1457,87,-20.787654876708984,0.0003,-7.384953022003174,0.6692981123924255,1356,5.042179584503174,,
