time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef,eval/mean_reward,eval/mean_ep_length
722,58,120,-6.0922900800000015,12,5.97,2.8152496814727783,0.0003,-3.6946394443511963,621,-17.128719329833984,0.8292004466056824,,
740,58,124,-5.98264321,12,5.94,3.042894124984741,0.0003,-3.791813373565674,639,-18.075634002685547,0.8247519135475159,,
759,58,128,-5.85900876,13,5.88,2.013988971710205,0.0003,-3.9140286445617676,658,-18.609453201293945,0.8200855851173401,,
780,57,132,-5.837195370000001,13,5.92,2.235198497772217,0.0003,-4.028620719909668,679,-17.779895782470703,0.8149684071540833,,
804,57,136,-5.748613050000001,13,5.85,3.2193102836608887,0.0003,-4.143182754516602,703,-18.538372039794922,0.8091569542884827,,
829,57,140,-5.659692770000001,14,5.84,3.5145301818847656,0.0003,-4.291853427886963,728,-17.110584259033203,0.8031526803970337,,
850,57,144,-5.678912239999999,14,5.88,2.590542793273926,0.0003,-4.440911769866943,749,-17.96590232849121,0.7981462478637695,,
870,57,148,-5.599338680000001,15,5.8,2.0398740768432617,0.0003,-4.556058883666992,769,-18.217853546142578,0.7934064269065857,,
903,56,152,-5.62019365,15,5.91,3.497615337371826,0.0003,-4.720417022705078,802,-17.361804962158203,0.7856401205062866,,
930,56,156,-5.628965450000001,16,5.97,3.451230525970459,0.0003,-4.894143104553223,829,-17.775741577148438,0.7793396711349487,,
960,56,160,-5.64352122,16,6.03,2.8897547721862793,0.0003,-5.050406455993652,859,-18.08175277709961,0.7724031805992126,,
986,56,164,-5.5435945,17,6.01,5.167288780212402,0.0003,-5.144323825836182,885,-17.867374420166016,0.7664501667022705,,
1009,56,168,-5.513914110000001,17,5.97,3.104764461517334,0.0003,-5.370494842529297,908,-18.38416290283203,0.7612317204475403,,
1035,56,172,-5.500827340000001,18,6.02,3.710913896560669,0.0003,-5.485821723937988,934,-17.80385398864746,0.7553683519363403,,
1063,55,176,-5.5112695899999995,18,6.06,4.052677631378174,0.0003,-5.619720935821533,962,-17.986492156982422,0.7491118311882019,,
1088,55,180,-5.509143580000001,19,6.06,3.5362439155578613,0.0003,-5.770576000213623,987,-17.025390625,0.7435701489448547,,
1116,55,184,-5.541392549999999,20,6.15,3.019540309906006,0.0003,-5.928277015686035,1015,-17.369117736816406,0.7374075055122375,,
1133,55,188,-5.431622400000001,20,6.09,4.135573387145996,0.0003,-6.024925708770752,1032,-18.183349609375,0.7336935997009277,,
1160,55,192,-5.406665569999999,20,6.08,3.740901470184326,0.0003,-6.213139533996582,1059,-17.043344497680664,0.727818489074707,,
1191,55,196,-5.434108169999999,21,6.15,3.7669668197631836,0.0003,-6.374006748199463,1090,-16.612598419189453,0.7211272716522217,,
1215,55,200,-5.446335029999999,21,6.2,3.7612524032592773,0.0003,-6.506209373474121,1114,-17.269710540771484,0.715998649597168,,
1232,55,204,-5.382206439999999,22,6.15,4.90725564956665,0.0003,-6.603302478790283,1131,-17.25983428955078,0.7123870253562927,,
1254,55,208,-5.38310154,22,6.08,4.39206600189209,0.0003,-6.677807807922363,1153,-17.49068832397461,0.7077311873435974,,
