time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
160,7.17,2741,1.14270162,17,356,0.001,0.09290261194109917,2633,0.1324752097328504,,
160,7.08,2761,1.19679773,17,360,0.001,0.0838304802775383,2659,0.15435096248984337,,
160,7.06,2790,1.31204681,17,364,0.001,0.08624329790472984,2688,0.10161396985252698,,
160,7.01,2814,1.3696687399999998,17,368,0.001,0.1084532007575035,2712,0.1681238313515981,,
160,6.97,2839,1.3849029,17,372,0.001,0.09168190012375514,2737,0.11816621571779251,,
160,6.85,2859,1.3905249700000002,17,376,0.001,0.08465354889631271,2757,0.1408110186457634,,
160,6.84,2889,1.38169728,17,380,0.001,0.08596744553910361,2786,0.19304946213960647,,
160,6.87,2919,1.3994304,18,384,0.001,0.10112479825814565,2817,0.22317774314433336,,
161,6.87,2943,1.42260173,18,388,0.001,0.12472183853387833,2837,0.1743451990187168,,
161,6.9,2970,1.4670335200000002,18,392,0.001,0.12280855434281486,2868,0.10304960794746876,,
161,6.86,2998,1.5319460900000001,18,396,0.001,0.09950703009963036,2893,0.19718447575966516,,
161,6.81,3023,1.5517538400000004,18,400,0.001,0.10404238104820251,2917,0.20393374065558115,,
160,6.85,3055,1.43623443,18,404,0.001,0.10808810804571424,2952,0.1659776377491653,,
161,6.9,3086,1.5466259000000002,19,408,0.001,0.11307322233915329,2983,0.06407329626381397,,
161,6.92,3112,1.54836993,19,412,0.001,0.11322799738910463,3010,0.12213771194219589,,
161,6.93,3139,1.5395533899999998,19,416,0.001,0.0883627101778984,3035,0.1592274233698845,,
161,6.98,3172,1.53817551,19,420,0.001,0.09723806855353442,3067,0.10615975856781006,,
161,7.02,3198,1.51038874,19,424,0.001,0.09405340626835823,3091,0.12415757402777672,,
161,7.04,3227,1.4819175000000002,20,428,0.001,0.09388854035309382,3122,0.15626445785164833,,
161,7.08,3259,1.5568700999999998,20,432,0.001,0.10708302166312933,3154,0.17595499381422997,,
161,6.99,3285,1.5981159400000002,20,436,0.001,0.09582269340753555,3183,0.16656924411654472,,
160,6.93,3310,1.55463824,20,440,0.001,0.10864611119031906,3208,0.12361740817626317,,
161,7.04,3343,1.5369463200000002,20,444,0.001,0.09689373970031738,3237,0.15065665543079376,,
160,6.95,3369,1.4416196,20,448,0.001,0.11749866232275963,3267,0.14392803236842155,,
160,6.8,3391,1.3933323000000002,21,452,0.001,0.10663890093564987,3288,0.17147907614707947,,
160,6.73,3414,1.3796274200000005,21,456,0.001,0.09455501437187194,3309,0.1409548968076706,,
160,6.9,3451,1.4484931599999995,21,460,0.001,0.10452463229497273,3343,0.12052417919039726,,
160,6.87,3477,1.4081720999999996,21,464,0.001,0.12016067228146962,3375,0.017317165310184162,,
160,6.92,3506,1.3840775399999998,21,468,0.001,0.09728245716542006,3400,0.16212565265595913,,
160,7.0,3539,1.3781260200000003,22,472,0.001,0.10959273129701615,3436,0.03388735527793566,,
160,7.11,3570,1.43739741,22,476,0.001,0.10789518464695323,3467,0.08927365243434907,,
160,7.06,3595,1.38523271,22,480,0.001,0.11419336199760437,3492,0.13488886629541716,,
160,7.07,3626,1.36341529,22,484,0.001,0.11897725146263838,3520,0.1565922014415264,,
160,7.14,3657,1.3344238000000002,22,488,0.001,0.1298504336313768,3554,0.13701307028532028,,
160,7.17,3687,1.32702132,23,492,0.001,0.13243541717529297,3584,0.09414882957935333,,
160,7.22,3720,1.26504477,23,496,0.001,0.11522070467472076,3615,0.16994690895080566,,
160,7.25,3748,1.20887284,23,500,0.001,0.09930824637413024,3640,0.15341771145661673,,
159,7.19,3774,1.21089516,23,504,0.001,0.10849900692701339,3672,0.17754639436801276,,
160,7.22,3808,1.1540862,23,508,0.001,0.0972928524017334,3705,0.006811551749706268,,
159,7.19,3831,1.15619343,23,512,0.001,0.1196741337577502,3729,0.1499460687239965,,
160,7.22,3861,1.2173622300000002,24,516,0.001,0.10373730957508087,3755,0.12270481884479523,,
159,7.14,3886,1.25783255,24,520,0.001,0.0907972812652588,3784,0.10658326372504234,,
159,7.16,3914,1.28995884,24,524,0.001,0.10131769047843085,3812,0.08397089838981628,,
159,7.09,3936,1.3209713899999997,24,528,0.001,0.1271272674202919,3834,0.04790793483455976,,
159,7.12,3971,1.3505293199999997,24,532,0.001,0.11322529117266338,3868,0.05008474066853523,,
159,7.2,4005,1.2920238600000002,25,536,0.001,0.10971312671899795,3898,0.05056554526090622,,
159,7.21,4031,1.32233222,25,540,0.001,0.10724704265594483,3923,0.05721891485154629,,
159,7.14,4057,1.3199365199999997,25,544,0.001,0.10759191811084748,3952,0.049104840805133186,,
159,7.17,4086,1.4246213900000004,25,548,0.001,0.12298098802566529,3979,0.14142342656850815,,
159,7.28,4119,1.4498838600000001,25,552,0.001,0.12090919017791749,4013,0.1339174412190914,,
159,7.32,4146,1.38937143,25,556,0.001,0.1364667649780001,4042,0.04164636181667447,,
159,7.24,4175,1.3470641799999998,26,560,0.001,0.13765834271907806,4070,0.11537346864740054,,
159,7.28,4205,1.37323679,26,564,0.001,0.11290933266282081,4099,0.03137248754501343,,
159,7.27,4233,1.36632905,26,568,0.001,0.11692464202642441,4129,-0.057222502306103706,,
159,7.24,4263,1.3990322899999998,26,572,0.001,0.11211830824613571,4161,0.047687435150146486,,
159,7.25,4295,1.30363967,26,576,0.001,0.1180141493678093,4188,-0.00865833523372809,,
159,7.33,4328,1.3626970100000002,27,580,0.001,0.11823039714779172,4224,0.14666392840445042,,
159,7.37,4363,1.4439763399999999,27,584,0.001,0.14546434581279755,4260,0.08082838356494904,,
159,7.39,4396,1.56582683,27,588,0.001,0.11369581967592239,4294,-0.005235216766595841,,
159,7.4,4427,1.5658644400000004,27,592,0.001,0.11622390399376552,4325,0.04299402888864279,,
159,7.47,4467,1.6369231399999997,28,596,0.001,0.12512126043438912,4360,-0.010529598593711853,,
159,7.46,4494,1.69845519,28,600,0.001,0.13038369161742075,4389,-0.004041728874047597,,
159,7.46,4520,1.7397213799999998,28,604,0.001,0.1152060478925705,4413,0.10894963704049587,,
158,7.41,4549,1.6902043000000004,28,608,0.001,0.11454907272543226,4447,0.14876828466852507,,
158,7.48,4579,1.78637715,28,612,0.001,0.11883660703897476,4475,-0.06205180287361145,,
158,7.38,4599,1.7128552200000002,28,616,0.001,0.10133142620325089,4497,-0.059514207765460014,,
158,7.36,4622,1.68446187,29,620,0.001,0.09784117043018341,4517,0.10630057007074356,,
158,7.3,4644,1.66344328,29,624,0.001,0.096198504169782,4542,0.03826047542194525,,
158,7.39,4675,1.62511281,29,628,0.001,0.11127481609582901,4573,0.07917362032458186,,
158,7.34,4705,1.5162639599999996,29,632,0.001,0.10148619328226362,4599,0.027613552908102672,,
158,7.26,4731,1.4757061699999996,29,636,0.001,0.1251778950293859,4627,0.014523369570573172,,
158,7.29,4760,1.4321061100000003,29,640,0.001,0.11041577160358429,4657,-0.012283856670061747,,
158,7.31,4788,1.5021572600000004,30,644,0.001,0.09743749350309372,4681,0.07457377389073372,,
158,7.27,4813,1.46040195,30,648,0.001,0.10659038573503495,4710,0.06446399539709091,,
158,7.25,4844,1.4100442499999997,30,652,0.001,0.10814056545495987,4739,0.005197230726480484,,
158,7.27,4873,1.49755085,30,656,0.001,0.09008084237575531,4764,0.04690562188625336,,
158,7.35,4910,1.4789396099999996,30,660,0.001,0.08733209561217915,4805,-0.043621499091386795,,
158,7.25,4930,1.4410211199999998,31,664,0.001,0.09083966041604678,4828,0.00045664235949516296,,
158,7.23,4956,1.48684485,31,668,0.001,0.09387329965829849,4851,-0.034515383653342724,,
158,7.21,4984,1.4796474800000001,31,672,0.001,0.08961727172136306,4883,0.01462007500231266,,
,,5000,,,,0.001,0.10238955318927764,4901,-0.007489800453186035,1.65657342,6.64
155,7.16,5011,1.50196211,32,676,0.001,0.08623852953314781,4909,-0.017373528331518173,,
155,7.09,5037,1.4942920800000001,32,680,0.001,0.09104570001363754,4931,0.0554698184132576,,
155,6.95,5058,1.43729628,32,684,0.001,0.0943408265709877,4956,-0.038944593320290245,,
155,6.96,5092,1.41769797,32,688,0.001,0.11313148091236751,4990,-0.03015585318207741,,
155,6.91,5118,1.40792878,32,692,0.001,0.10682134926319123,5010,-0.061852275083462395,,
155,6.84,5151,1.34156838,33,696,0.001,0.11115062816275491,5046,-0.0259694617241621,,
155,6.85,5179,1.3067680499999996,33,700,0.001,0.1012385793030262,5076,-0.030077602714300156,,
155,6.87,5207,1.290607,33,704,0.001,0.10032383054494858,5103,0.038507502526044846,,
155,6.79,5228,1.32107565,33,708,0.001,0.08865814954042435,5126,0.018204886155823868,,
155,6.77,5256,1.2492585,33,712,0.001,0.09412215815650092,5151,-0.01223998237401247,,
155,6.84,5283,1.32806103,33,716,0.001,0.09665815457701683,5181,-0.0018121778964996337,,
155,6.88,5310,1.3168117999999998,34,720,0.001,0.12349739670753479,5204,-0.07597490151723225,,
155,6.95,5339,1.3735983299999999,34,724,0.001,0.09711029455065727,5236,-0.02428351379930973,,
155,6.94,5369,1.47166131,34,728,0.001,0.10189365744590759,5261,0.08652086183428764,,
155,6.98,5403,1.5117414699999996,34,732,0.001,0.10626235902309418,5299,-0.08934798650443554,,
155,7.06,5437,1.6177947700000002,34,736,0.001,0.09290670752525329,5332,0.007752468188603719,,
155,7.05,5465,1.58123233,35,740,0.001,0.09415195509791374,5358,-0.0035251850883165994,,
155,7.0,5488,1.5237493300000002,35,744,0.001,0.09671433120965958,5386,-0.02238196413964033,,
156,7.0,5513,1.5143557200000002,35,748,0.001,0.10620836019515992,5410,-0.11391199504335721,,
156,7.08,5552,1.5931610300000003,35,752,0.001,0.09631665050983429,5443,0.03781367838382721,,
156,7.05,5578,1.56255588,35,756,0.001,0.0918484628200531,5476,-0.01242282489935557,,
156,6.96,5606,1.6081736499999997,35,760,0.001,0.10062623023986816,5504,-0.1413381944100062,,
156,7.07,5637,1.6894445700000003,36,764,0.001,0.09851282022216103,5535,-0.08605718836188317,,
156,7.04,5660,1.6966726199999993,36,768,0.001,0.08951087743043899,5555,-0.01836492959409952,,
156,7.01,5685,1.69289648,36,772,0.001,0.0858478918671608,5583,-0.03180248290300369,,
155,7.04,5715,1.7219513999999998,36,776,0.001,0.08417382761836052,5609,-0.1059421680867672,,
155,7.01,5738,1.6932029699999998,36,780,0.001,0.09278228878974915,5636,0.01315892239411672,,
155,7.11,5769,1.6993366,37,784,0.001,0.08771622677644093,5664,-0.047975442744791506,,
